Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Milk, cow, powder, regular fat, unfortified",D,100g,507,25.3,43,27.3,0,43,18.26,0.50823,110,310
"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",D,100g,96,4.9,11.6,3.1,0.1,11.6,2,0.05862,10,60
"Milk, cow, fluid, skim (0.15% fat)",D,100g,35,3.6,5.3,0,0,5.3,0,0,3,38
"Yoghurt, natural, regular fat (3% fat)",D,100g,73,5.1,5,3.2,0.1,4.9,2.17,0.06048,15,58
"Milk, cow, fluid, regular fat (3.5% fat)",D,100g,65,3.3,5.4,3.4,0,5.4,2.31,0.10055,10,35
"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",D,100g,92,4.2,11.1,3.2,0.1,11.1,2.03,0.05957,8,65
"Cheese, parmesan, grated",A,100g,431,38.46,4.06,28.61,0,0.9,17.301,,88,1529
"Cheese, blue",A,100g,353,21.4,2.34,28.74,0,0.5,18.669,,75,1395
"Cheese, swiss, low sodium",A,100g,374,28.4,3.4,27.4,0,1.31,17.744,,92,14
"Cheese, goat, hard type",A,100g,452,30.52,2.17,35.59,0,2.17,24.609,,105,346
"Cheese, edam",A,100g,357,24.99,1.43,27.8,0,1.43,17.572,,89,965
"Cheese, neufchatel",A,100g,253,9.15,3.59,22.78,0,3.19,12.79,,74,334
"Cheese, parmesan, low sodium",A,100g,451,41.6,3.7,29.99,0,0.85,19.051,,79,63
"Cheese, parmesan, shredded",A,100g,415,37.86,3.41,27.34,0,0.9,17.37,,72,1696
"Cheese, cream",A,100g,342,5.93,4.07,34.24,0,3.21,19.292,,110,321
"Cheese, muenster",A,100g,368,23.41,1.12,30.04,0,1.12,19.113,,96,628
"Cheese, american cheddar, imitation",A,100g,239,16.7,11.6,14,0,7.74,8.79,,36,1345
"Cheese, monterey, low fat",A,100g,310,28.2,0.7,21.6,0,0.56,14.04,,65,564
"Cheese, tilsit",A,100g,340,24.41,1.88,25.98,0,,16.775,,102,753
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",A,100g,72,10.34,6.66,0.29,0,1.85,0.169,,7,330
"Cheese, mozzarella, part skim milk, low moisture",A,100g,302,25.96,3.83,20.03,0,0.6,10.877,,54,528
"Cheese spread, cream cheese base",A,100g,295,7.1,3.5,28.6,0,3.5,18.02,,90,673
"Cheese, provolone, reduced fat",A,100g,274,24.7,3.5,17.6,0,0.55,11.3,,55,876
"Cheese, swiss",A,100g,380,26.93,5.38,27.8,0,1.32,17.779,,92,192
"Cheese, cottage, creamed, with fruit",A,100g,97,10.69,4.61,3.85,0.2,2.38,2.311,,13,344
"Cheese, mozzarella, part skim milk",A,100g,254,24.26,2.77,15.92,0,1.13,10.114,,64,619
"Cheese, cream, low fat",A,100g,201,7.85,8.13,15.28,0,5.82,9.098,,54,470
"Cheese, parmesan, dry grated, reduced fat",A,100g,265,20,1.37,20,0,0,13.317,,88,1529
"Cheese, roquefort",A,100g,369,21.54,2,30.64,0,,19.263,,90,1809
"Cheese, cottage, creamed, large or small curd",A,100g,98,11.12,3.38,4.3,0,2.67,1.718,,17,364
"Cheese, cottage, with vegetables",A,100g,95,10.9,3,4.2,0.1,0.37,2.646,,14,403
"Cheese, mozzarella, whole milk, low moisture",A,100g,318,21.6,2.47,24.64,0,1.01,15.561,,89,415
"Cheese, cream, fat free",A,100g,105,15.69,7.66,1,0,5.48,0.644,,12,702
"Cheese, romano",A,100g,387,31.8,3.63,26.94,0,0.73,17.115,,104,1200
"Cheese, colby",A,100g,394,23.76,2.57,32.11,0,0.52,20.218,,95,604
"Cheese, mozzarella, nonfat",A,100g,141,31.7,3.5,0,1.8,1.48,0,,18,743
"Cheese, mozzarella, whole milk",A,100g,300,22.17,2.19,22.35,0,1.03,13.152,,79,627
"Cheese, low-sodium, cheddar or colby",A,100g,398,24.35,1.91,32.62,0,0.49,20.768,,100,21
"Cheese, gruyere",A,100g,413,29.81,0.36,32.34,0,0.36,18.913,,110,336
"Cheese, ricotta, part skim milk",A,100g,138,11.39,5.14,7.91,0,0.31,4.927,,31,125
"Cheese, cheshire",A,100g,387,23.37,4.78,30.6,0,,19.475,,103,700
"Cheese, muenster, low fat",A,100g,271,24.7,3.5,17.6,0,3.5,10.95,,63,600
"Cheese, monterey",A,100g,373,24.48,0.68,30.28,0,0.5,19.066,,89,536
"Cheese, low fat, cheddar or colby",A,100g,173,24.35,1.91,7,0,0.52,4.342,,21,612
"Cheese, gouda",A,100g,356,24.94,2.22,27.44,0,2.22,17.614,,114,819
"Cheese, ricotta, whole milk",A,100g,174,11.26,3.04,12.98,0,0.27,8.295,,51,84
"Cheese, cheddar",A,100g,403,24.9,1.28,33.14,0,0.52,21.092,,105,621
Cheese fondue,A,100g,229,14.23,3.77,13.47,0,,8.721,,45,132
"Cheese, gjetost",A,100g,466,9.65,42.65,29.51,0,,19.16,,94,600
"Cheese, provolone",A,100g,351,25.58,2.14,26.62,0,0.56,17.078,,69,876
"Cheese, camembert",A,100g,300,19.8,0.46,24.26,0,0.46,15.259,,72,842
"Cheese, mozzarella, low sodium",A,100g,280,27.5,3.1,17.1,0,1.23,10.867,,54,16
"Cheese, goat, soft type",A,100g,268,18.52,0.89,21.08,0,0.89,14.575,,46,368
"Cheese, fontina",A,100g,389,25.6,1.55,31.14,0,1.55,19.196,,116,800
"Cheese, parmesan, hard",A,100g,392,35.75,3.22,25.83,0,0.8,16.41,,68,1602
"Cheese, brie",A,100g,334,20.75,0.45,27.68,0,0.45,17.41,,100,629
"Cheese, swiss, low fat",A,100g,173,28.4,3.4,5.1,0,1.33,3.304,,35,260
"Cheese, goat, semisoft type",A,100g,364,21.58,2.54,29.84,0,2.54,20.639,,79,515
"Cheese, feta",A,100g,264,14.21,4.09,21.28,0,4.09,14.946,,89,1116
"Cheese, white, semisoft",B,100g,328,25.7,3.5,23.5,,,,,11,584.6
Medium fat soft cheese,B,100g,179,9.2,3.1,14.5,,,,,42,
Feta,B,100g,250,15.6,1.5,20.2,,,,,70,1440
Cottage cheese,B,100g,443,40.4,24.4,20.4,,,,,120,130.8
"Full fat soft cheese, Philadelphia-type",B,100g,313,8.6,ND,31,,,,,90,330
Cheese,B,100g,356,39.1,43.4,2.9,,,,,,285.2
"Cheddar, reduced fat",B,100g,261,31.5,ND,15,,,,,43,670
Cheddar,B,100g,412,25.5,0.1,34.4,,,,,100,670
"Cheese, milk lump, sour, dried",B,100g,426,55.1,17.7,15,,,,,51,79.3
"Milk curd, fresh",B,100g,305,46.2,12.5,7.8,,,,,36,90.2
"Milk curd, skimmed",B,100g,343,53.7,26.5,2.5,,,,,36,55.4
"Cheese, fetta (feta)",D,100g,270,16.6,0.4,22.3,0,0.4,14.16,0.54791,75,1100
"Cheese, edam",D,100g,357,27.4,0,27.2,0,0,17.22,0.79785,78,900
"Cheese, cottage",D,100g,132,17,1.8,5.7,0,1.8,3.47,0.25307,22,277
"Cheese, cheddar, processed, regular fat",D,100g,299,18.2,1.9,23.9,0,1.5,16.04,0.04511,68,1420
"Cheese, cheddar, natural, reduced fat (approximately 25%)",D,100g,323,27.9,0,23.4,0,0,15.1,0.49091,85,550
"Cheese, cheddar, natural, reduced fat (approximately 15%)",D,100g,278,34.4,0,15.3,0,0,9.87,0.32098,45,560
"Cheese, camembert",D,100g,291,18.6,0,23.8,0,0,15.56,0.69722,93,570
"Cheese, blue vein",D,100g,377,20.9,0,32.4,0,0,20.71,0.94974,100,1090
"Cheese, parmesan, fresh, regular fat",D,100g,373,32,0,27,0,0,18.73,0.40824,90,1000
"Cheese, parmesan, dried, finely grated",D,100g,464,40.6,0,33.3,0,0,21.06,0.97611,88,1300
"Cheese, mozzarella",D,100g,289,22.2,0,22.1,0,0,14.37,0.6683,71,522
"Sour cream, fat free",A,100g,74,3.1,15.6,0,0,0.39,0,,9,141
"Sour cream, light",A,100g,138,3.5,7.1,10.6,0,0.22,6.6,,35,71
"Sour cream, reduced fat",A,100g,181,7,7,14.1,0,0.3,8.7,,35,70
"Cream, sour, cultured",A,100g,193,2.07,2.88,19.73,0,3.5,11.507,,52,80
"Cream, sour, reduced fat, cultured",A,100g,135,2.94,4.26,12,0,0.16,7.47,,39,41
"Cream, whipped, cream topping, pressurized",A,100g,257,3.2,12.49,22.22,0,8,13.831,,76,130
"Cream, fluid, heavy whipping",A,100g,345,2.05,2.79,37,0,0.11,23.032,,137,38
"Cream, fluid, light whipping",A,100g,292,2.17,2.96,30.91,0,0.11,19.337,,111,34
"Cream, fluid, light (coffee cream or table cream)",A,100g,195,2.7,3.66,19.31,0,0.14,12.02,,66,40
"Cream, for food industry use",B,100g,504,1.1,0,55.5,,,,,103,190.8
Whipping cream,C,100g,350,2.2,3.6,36,0,2.7,23,0.78,110,29
"Cream, thickened, regular fat (approximately 35%)",D,100g,335,2,2.4,36.1,0,2.4,23.28,1.86265,110,27
"Cream, sour, regular fat",D,100g,337,1.9,2,36.3,0,2,23.46,1.37214,91,19
"Cream, sour, light (approximately 18% fat)",D,100g,207,3.6,4.5,19.7,0,4.5,12.73,0.74466,91,19
"Cream, imitation (non-dairy)",D,100g,264,1,17.7,21.8,0,16.3,19.34,0.30803,0,57
"Milk, sheep, fluid",A,100g,108,5.98,5.36,7,0,,4.603,,27,44
"Milk, human, mature, fluid",A,100g,70,1.03,6.89,4.38,0,6.89,2.009,,14,17
"Milk, goat, fluid, with added vitamin D",A,100g,69,3.56,4.45,4.14,0,4.45,2.667,,11,50
"Beverage, milkshake mix, dry, not chocolate",A,100g,329,23.5,52.9,2.6,1.6,51.3,2.059,,14,780
"Milk, chocolate, fluid, commercial, lowfat, with added vitamin A and vitamin D",A,100g,63,3.24,10.44,1,0.5,9.94,0.616,,3,61
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",A,100g,35,3.4,4.85,0.18,0,4.85,0.117,,2,52
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",A,100g,61,3.15,4.78,3.27,0,5.26,1.865,,10,43
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",A,100g,83,3.17,10.34,3.39,0.8,9.54,2.104,,12,60
"Shake, fast food, strawberry",A,100g,113,3.4,18.9,2.8,0.4,,1.734,,11,83
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",A,100g,78,2.99,12.13,1.9,0.7,9.55,1.177,,8,66
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",A,100g,78,7.55,11.35,0.2,0,11.35,0.121,,4,115
"Dairy drink mix, chocolate, reduced calorie, with low-calorie sweeteners, powder",A,100g,329,25,51.4,2.6,9.4,32.94,1.871,,24,659
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",A,100g,50,3.3,4.8,1.98,0,5.06,1.257,,8,47
"Shake, fast food, vanilla",A,100g,148,3.37,19.59,6.52,0.9,13.63,3.962,,23,81
"Milk, canned, condensed, sweetened",A,100g,321,7.91,54.4,8.7,0,54.4,5.486,,34,127
"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",A,100g,358,35.1,52.19,0.72,0,52.19,0.47,,18,549
"Shake, fast food, chocolate",A,100g,127,3.4,20.5,3.7,1.9,18.6,2.313,,13,97
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",A,100g,362,36.16,51.98,0.77,0,51.98,0.499,,20,535
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",A,100g,34,3.37,4.96,0.08,0,5.09,0.051,,2,42
"Milk, canned, evaporated, without added vitamin A and vitamin D",A,100g,135,6.81,10.04,7.56,0,10.04,4.591,,29,106
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",A,100g,42,3.37,4.99,0.97,0,5.2,0.633,,5,44
"Milk shakes, thick vanilla",A,100g,112,3.86,17.75,3.03,0,17.75,1.886,,12,95
"Milk, dry, whole, without added vitamin D",A,100g,496,26.32,38.42,26.71,0,38.42,16.742,,97,371
"Milk shakes, thick chocolate",A,100g,119,3.05,21.15,2.7,0.3,20.85,1.681,,11,111
"Milk film, fresh",B,100g,460,12.2,6.3,42.9,,,,,78,2.3
"Condensed milk, pasteurized, sweetened, canned",B,100g,332,8,55.4,8.7,,,,,36,211.9
Whole goat milk powder,B,100g,498,18.8,49,25.2,,,,,75,
"Whole milk powder, instant",B,100g,466,19.9,54,18.9,,,,,71,247.6
Whole milk powder,B,100g,478,20.1,51.7,21.2,,,,,110,260.1
"Whole milk powder, sugar added",B,100g,490,22.5,47.4,23.4,,,,,,450.8
Breast milk,B,100g,65,1.3,7.4,3.4,,,,,11,
Goat milk,B,100g,59,1.5,5.4,3.5,,,,,31,20.6
"Milk, pasteurized (Mean)",B,100g,54,3,3.4,3.2,,,,,15,37.2
"“Fruit flavor”milk, artificially fruit flavored, pasteurized",B,100g,20,0.9,2.4,0.8,,,,,18,37.4
"Whole milk powder, flakes, sugar added",B,100g,472,13.3,59.3,20.2,,,,,65,179.7
Milk shake,C,100g,110,1.3,14,5.2,0,12,2.8,0.11,13,41
Filled evaporated milk,C,100g,120,5.9,11,6.1,0,9.9,2.7,0.028,4.4,130
Full cream milk,C,100g,64,3.1,4.7,3.7,0,4.2,1.8,0.091,14,40
"Milk, cow, canned, evaporated, regular",D,100g,140,7.5,10,8.2,0,10,5.23,0.15172,24,104
"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",D,100g,90,7.8,10.6,2.1,0,10.6,1.35,0.03909,10,104
"Milk, cow, powder, regular fat, unfortified",D,100g,507,25.3,43,27.3,0,43,18.26,0.50823,110,310
"Milk, cow, fluid, skim (0.15% fat)",D,100g,35,3.6,5.3,0,0,5.3,0,0,3,38
"Milk, cow, fluid, regular fat (3.5% fat)",D,100g,65,3.3,5.4,3.4,0,5.4,2.31,0.10055,10,35
"Milk, cow, fluid, reduced fat (1% fat)",D,100g,43,3.3,4.8,1.2,0,4.8,0.85,0.02608,5,36
"Milk, cow, canned, sweetened, condensed, regular",D,100g,324,8.3,55,9.2,0,55,6.03,0.30429,31,106
"Milk, buttermilk, fluid, cultured, lowfat",A,100g,40,3.31,4.79,0.88,0,4.79,0.548,,4,105
"Yogurt, fruit variety, nonfat",A,100g,95,4.4,19,0.2,0,19,0.119,,2,58
"Milk, buttermilk, fluid, cultured, reduced fat",A,100g,56,4.1,5.3,2,0,5.3,1.242,,8,86
"Yogurt, fruit, lowfat, with low calorie sweetener",A,100g,105,4.86,18.6,1.41,0,2.9,0.909,,6,58
"Yogurt, chocolate, nonfat milk",A,100g,112,3.53,23.53,0,1.2,14.97,0,,1,135
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",A,100g,43,3.86,7.5,0.18,0,7.5,0.116,,2,59
"Milk, buttermilk, dried",A,100g,387,34.3,49,5.78,0,49,3.598,,69,517
"“Fruit” yogurt, whole milk, with fruits",B,100g,67,3.1,10.4,1.4,,,,,15,32.5
"Yogurt, medium fat",B,100g,64,2.7,9,1.9,,,,,12,13
"Yogurt, skimmed",B,100g,57,3.3,10,0.4,,,,,18,27.7
Yogurt (Mean),B,100g,72,2.5,9.3,2.7,,,,,15,39.8
"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",D,100g,96,4.9,11.6,3.1,0.1,11.6,2,0.05862,10,60
"Yoghurt, natural, regular fat (3% fat)",D,100g,73,5.1,5,3.2,0.1,4.9,2.17,0.06048,15,58
"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",D,100g,92,4.2,11.1,3.2,0.1,11.1,2.03,0.05957,8,65
"Sports drink, fruit-flavored, low calorie, ready-to-drink",A,100g,11,0,3,0,0,0,0,,0,35
"Cranberry juice, unsweetened",A,100g,46,0.39,12.2,0.13,0.1,12.1,0.01,,0,2
"Orange juice, frozen concentrate, unsweetened, undiluted",A,100g,159,2.39,38.17,0.21,0.8,37.37,0.024,,0,3
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",A,100g,47,0.14,11.54,0.1,0.1,10.93,0.018,,0,7
"Coffee, brewed from grounds, prepared with tap water, decaffeinated",A,100g,0,0.1,0,0,0,0,0.002,0,0,2
"Tomato juice, canned, with salt added",A,100g,17,0.76,4.24,0.05,0.4,3.56,0.008,,0,269
"Beef broth and tomato juice, canned",A,100g,37,0.6,8.5,0.1,0.1,,0.032,,0,131
"Chocolate syrup, prepared with whole milk",A,100g,90,3.07,12.78,2.96,0.3,11.31,1.681,,9,47
"Lemonade, powder, prepared with water",A,100g,14,0,3.59,0.04,0,3.5,0,,0,6
"Tea, brewed, prepared with tap water, decaffeinated",A,100g,1,0,0.3,0,0,0,0.002,,0,3
"Orange juice, canned, unsweetened",A,100g,47,0.68,11.01,0.15,0.3,8.76,0.018,,0,4
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",A,100g,166,0.51,41,0.37,0.4,38.83,0.06,,0,25
"Fruit-flavored drink mix, powder, unsweetened",A,100g,226,0,91.3,0,0,0,0,,0,2727
"Pomegranate juice, bottled",A,100g,54,0.15,13.13,0.29,0.1,12.65,0.077,,0,9
Chocolate syrup,A,100g,279,2.1,65.1,1.13,2.6,49.65,0.519,,0,72
"Lemonade, powder",A,100g,378,0,97.23,1.05,0.4,94.7,0,,0,51
"Coffee, instant, with sugar, french-flavor, powder",A,100g,484,4.5,65.67,22.63,0,41.74,4.997,,0,557
"Strawberry-flavor beverage mix, powder, prepared with whole milk",A,100g,88,3,12.3,3.1,0,,1.91,,12,48
Orange juice drink,A,100g,54,0.2,13.41,0,0.2,9.36,0,,0,2
"Orange juice, raw",A,100g,45,0.7,10.4,0.2,0.2,8.4,0.024,,0,1
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",A,100g,46,0.1,11.3,0.13,0.2,9.62,0.022,,0,4
"Cocktail mix, non-alcoholic, concentrated, frozen",A,100g,287,0.08,71.6,0.01,0,48.44,0.003,,0,0
"Tamarind nectar, canned",A,100g,57,0.09,14.73,0.12,0.5,12.7,,,0,7
"Chocolate-flavor beverage mix, powder, prepared with whole milk",A,100g,85,3.23,11.91,3.24,0.4,,1.86,,9,58
"Grape juice drink, canned",A,100g,57,0,14.55,0,0.1,14.11,0,,0,9
"Coffee, instant, with sugar, cappuccino-flavor powder",A,100g,406,3.1,85.94,5.56,1.2,69.16,3.422,,2,180
"Strawberry-flavor beverage mix, powder",A,100g,389,0.1,99.1,0.2,0,95.45,0,,0,38
Corn beverage,A,100g,40,0.8,8.7,0.2,0.4,0.18,0,0,0,140
"Chocolate-flavored drink, whey and milk based",A,100g,49,0.64,10.68,0.4,0.6,8.68,0.31,,0,91
"Mango nectar, canned",A,100g,51,0.11,13.12,0.06,0.3,12.45,0.014,,0,5
"Chocolate-flavor beverage mix for milk, powder, without added nutrients",A,100g,405,3.3,90.9,3.1,4.8,83.88,1.834,,0,210
"Grape drink, canned",A,100g,61,0,15.75,0,0,13.06,0,,0,16
"Coffee, instant, with sugar, mocha-flavor, powder",A,100g,460,5.29,74.04,15.87,1.9,58.2,4.934,,0,317
"Malted drink mix, chocolate, powder, prepared with whole milk",A,100g,85,3.37,11.2,3.29,0.5,6.68,1.883,,10,60
"Lemonade, frozen concentrate, pink, prepared with water",A,100g,43,0.05,10.81,0.15,0.1,10.28,0.006,,0,4
"Lime juice, canned or bottled, unsweetened",A,100g,21,0.25,6.69,0.23,0.4,1.37,0.026,,0,16
"Acerola juice, raw",A,100g,23,0.4,4.8,0.3,0.3,4.5,0.068,,0,3
Bean beverage,A,100g,34,2.8,5.8,0,0,0.08,0,,0,2
"Guava nectar, canned",A,100g,57,0.09,14.87,0.06,1,12.37,,,,7
"Carob-flavor beverage mix, powder, prepared with whole milk",A,100g,75,3.16,8.68,3.11,0.4,,1.779,,10,46
"Citrus fruit juice drink, frozen concentrate, prepared with water",A,100g,46,0.34,11.42,0.03,0.1,8.13,0.002,,0,4
"Coffee, instant, with chicory, prepared with water",A,100g,3,0.09,0.75,0,0,0,0.001,,0,7
"Malted drink mix, chocolate, powder",A,100g,411,5.1,86.94,4.76,4.8,66.67,2.381,,1,190
"Lemonade, frozen concentrate, pink",A,100g,192,0.22,48.86,0.69,0.3,46.46,0.026,,0,4
"Lime juice, raw",A,100g,25,0.42,8.42,0.07,0.4,1.69,0.008,,0,2
"Coffee, dry, powder, with whitener, reduced calorie",A,100g,509,1.96,59.94,29.1,0.5,59,25.128,,0,819
"Soymilk, chocolate, unfortified",A,100g,63,2.26,9.95,1.53,0.4,7.86,0.24,0,0,53
"Guanabana nectar, canned",A,100g,59,0.11,14.93,0.17,0.1,13.07,0.029,,0,8
"Carob-flavor beverage mix, powder",A,100g,372,1.8,93.3,0.2,8,,0.03,,0,103
"Coffee, instant, with chicory, powder",A,100g,351,9.3,74.2,0.2,0.5,,0.071,,0,277
"Malted drink mix, natural, powder, prepared with whole milk",A,100g,88,3.86,10.23,3.62,0.1,9.56,2.039,,12,79
"Cranberry juice cocktail, frozen concentrate, prepared with water",A,100g,47,0.01,11.81,0,0,9.76,0,,0,4
"Lemon juice, canned or bottled",A,100g,21,0.4,6.48,0.29,0.4,2.4,0.038,,0,21
"Coffee and cocoa (mocha) powder, with whitener and low calorie sweetener",A,100g,257,9,71.4,13.21,4.8,34.98,11.376,,0,500
"Soymilk, original and vanilla, unfortified",A,100g,54,3.27,6.28,1.75,0.6,3.99,0.205,0,0,51
"Grapefruit juice, pink, raw",A,100g,39,0.5,9.2,0.1,,,0.014,,0,1
"Carbonated beverage, root beer",A,100g,41,0,10.6,0,0,10.6,0,,0,13
"Coffee, instant, decaffeinated, powder, prepared with water",A,100g,2,0.12,0.43,0,0,0,0.001,,0,4
"Malted drink mix, natural, powder",A,100g,428,14.29,71.21,9.52,0.1,47.62,4.762,,24,405
"Cranberry juice cocktail, frozen concentrate",A,100g,201,0.05,51.45,0,0.2,42.5,0,,0,4
"Lemon juice, raw",A,100g,25,0.38,8.63,0,0.4,2.4,0,,0,1
"Tea, herb, chamomile, brewed",A,100g,1,0,0.2,0,0,0,0.002,,0,1
"Citrus fruit juice drink, frozen concentrate",A,100g,162,1.2,40.2,0.1,0.2,28.63,0.007,,0,3
"Carbonated beverage, tonic water",A,100g,34,0,8.8,0,0,8.8,0,,0,12
Malt beverage,A,100g,37,0.21,8.05,0.12,0,8.05,0.024,,0,13
"Fruit punch juice drink, frozen concentrate, prepared with water",A,100g,42,0.07,10.44,0.17,0,0,0.021,,0,5
"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",A,100g,60,0.37,14.77,0.13,0.2,14.2,0.025,,0,5
"Tea, brewed, prepared with distilled water",A,100g,1,0,0.3,0,0,,0.002,,0,0
"Beverage, Horchata, as served in restaurant",A,100g,54,0.48,11.52,0.71,0,9.36,,,,14
"Prune juice, canned",A,100g,71,0.61,17.45,0.03,1,16.45,0.003,,0,4
"Cranberry juice cocktail, bottled",A,100g,54,0,13.52,0.1,0,11.87,0.009,,0,2
"Carbonated beverage, orange",A,100g,48,0,12.3,0,0,,0,,0,12
"Lemonade-flavor drink, powder, prepared with water",A,100g,27,0,6.9,0.07,0,6.87,0,,0,13
"Fruit punch juice drink, frozen concentrate",A,100g,175,0.3,43.1,0.7,0.2,,0.087,,0,10
"Grapefruit juice, white, raw",A,100g,39,0.5,9.2,0.1,0.1,9.1,0.014,,0,1
"Tea, herb, other than chamomile, brewed",A,100g,1,0,0.2,0,0,0,0.002,,0,1
"Beverage, Horchata, dry mix, unprepared, variety of brands, all with morro seeds",A,100g,413,7.5,79.05,7.46,4,38.9,2.086,0.021,0,3
"Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",A,100g,52,0.4,12.77,0.03,0.2,12.57,0.002,,0,1
"Passion-fruit juice, purple, raw",A,100g,51,0.39,13.6,0.05,0.2,13.4,0.004,,0,6
"Coffee, instant, decaffeinated, powder",A,100g,224,11.6,42.6,0.2,0,0,0.101,,0,23
"Cranberry-grape juice drink, bottled",A,100g,56,0.2,14,0.1,0.1,,0.033,,0,3
"Carbonated beverage, reduced sugar, cola, contains caffeine and sweeteners",A,100g,20,0,5.16,0,0,5.16,0,,0,4
"Lemonade-flavor drink, powder",A,100g,379,0,97.57,1.01,0,97.15,0.003,,0,130
"Pineapple and orange juice drink, canned",A,100g,50,1.3,11.8,0,0.1,11.59,0,,0,3
"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",A,100g,41,0.55,9.73,0.13,0.1,9.63,0.019,,0,1
"Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder",A,100g,401,0.12,98.55,0.73,0.7,95.29,0.097,,0,5
"Water, non-carbonated, bottles, natural fruit flavors, sweetened with low calorie sweetener",A,100g,1,0,0.15,0,0,0,0,,0,3
"Pineapple juice, frozen concentrate, unsweetened, undiluted",A,100g,179,1.3,44.3,0.1,0.7,43.6,0.007,,0,3
"Papaya nectar, canned",A,100g,57,0.17,14.51,0.15,0.6,13.91,0.047,,0,5
"Coffee, instant, regular, prepared with water",A,100g,2,0.1,0.34,0,0,0,0.002,,0,4
"Cranberry-apricot juice drink, bottled",A,100g,64,0.2,16.2,0,0.1,,0,,0,2
"Carbonated beverage, cola, without caffeine",A,100g,41,0,10.58,0,0,10.58,0,,0,4
"Fruit punch drink, frozen concentrate, prepared with water",A,100g,46,0.06,11.66,0,0.1,0,0.001,,0,5
"Pineapple and grapefruit juice drink, canned",A,100g,47,0.2,11.6,0.1,0.1,11.52,0.006,,0,14
"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",A,100g,146,1.97,34.56,0.48,0.4,34.16,0.064,,0,3
"Tea, instant, unsweetened, lemon-flavored, powder",A,100g,345,7.4,78.52,0.18,5,4.52,0.047,,0,55
"Wine, non-alcoholic",A,100g,6,0.5,1.1,0,0,1.1,0,,0,7
"Pineapple juice, canned, unsweetened, without added ascorbic acid",A,100g,53,0.36,12.87,0.12,0.2,9.98,0.008,,0,2
"Tangerine juice, frozen concentrate, sweetened, diluted with 3 volume water",A,100g,46,0.43,11.06,0.11,,,0.007,,0,1
"Cranberry-apple juice drink, bottled",A,100g,63,0,15.85,0.11,0,14.5,0.013,,0,2
"Carbonated beverage, lemon-lime soda, contains caffeine",A,100g,41,0.09,10.42,0,0,10.19,0,,0,10
"Fruit punch drink, frozen concentrate",A,100g,162,0.2,41.4,0,0.4,,0.003,,0,8
"Orange and apricot juice drink, canned",A,100g,51,0.3,12.7,0.1,0.1,12.06,0.01,,0,2
"Grapefruit juice, white, canned, sweetened",A,100g,46,0.58,11.13,0.09,0.1,11.03,0.012,,0,2
"Tea, instant, unsweetened, powder, prepared",A,100g,1,0.06,0.17,0,0,0.02,0,,0,4
"Carbonated beverage, chocolate-flavored soda",A,100g,42,0,10.7,0,0,10.7,0,,0,88
"Pear nectar, canned, without added ascorbic acid",A,100g,60,0.11,15.76,0.01,0.6,15.16,0.001,,0,4
"Tangerine juice, frozen concentrate, sweetened, undiluted",A,100g,161,1.5,38.85,0.39,0.6,,0.026,,0,3
"Coffee, instant, regular, powder",A,100g,241,12.2,41.1,0.5,0,0,0.197,,0,37
"Fruit punch drink, without added nutrients, canned",A,100g,48,0,11.97,0,0,11.29,0,,0,10
"Limeade, frozen concentrate, prepared with water",A,100g,52,0,13.79,0,0,13.27,0,,0,3
"Grapefruit juice, white, canned, unsweetened",A,100g,38,0.52,8.96,0.1,0.1,8.86,0.013,,0,1
"Tea, instant, unsweetened, powder",A,100g,315,20.21,58.66,0,8.5,5.53,0,,0,72
"Fruit punch-flavor drink, powder, without added sodium, prepared with water",A,100g,37,0,9.47,0.01,0,9.23,0.006,,0,7
